time,eke_ice,eke_acc,ck_ice,ck_acc,wm_ice,wm_acc,we_ice,we_acc
1996-11-01,0.0044645495,0.007638457,6.18892492809664e-10,5.499312671908285e-10,0.0015683079836890101,0.003531131660565734,-2.4483430024702102e-05,-4.7353296395158395e-05
1996-12-01,0.003206899,0.0075730463,3.567659778713761e-10,5.970230976259927e-10,0.0019364592153578997,0.00429609976708889,-4.690154310083017e-05,-8.489735773764551e-05
1997-01-01,0.0029943818,0.0075080595,3.34627658915565e-10,9.699918646077776e-10,0.0015224942471832037,0.004890402778983116,1.4046471733308863e-05,8.684982276463415e-06
1997-02-01,0.00306982,0.0077331807,4.601569125739502e-11,3.599122389008613e-10,0.001990618882700801,0.004470559768378735,5.040823089075275e-05,-4.3514057324500754e-05
1997-03-01,0.002745086,0.00723233,4.38309250005986e-11,3.4241351420938315e-10,0.003057459369301796,0.005106193013489246,0.00014277406444307417,2.0927834611939033e-06
1997-04-01,0.0031241556,0.0072879004,4.796549268881733e-10,5.25511134608081e-10,0.0022815102711319923,0.004451526328921318,0.00011057803931180388,2.244744791823905e-05
1997-05-01,0.0032807584,0.006799232,2.584836233943122e-10,7.091897624711407e-10,0.0031373342499136925,0.005112683866173029,0.00011005641863448545,3.4682783734751865e-05
1997-06-01,0.0037540176,0.0070477272,7.912859811831652e-10,1.0550702533862477e-09,0.001479534199461341,0.004721011966466904,-1.141037773777498e-05,5.5665870604570955e-05
1997-07-01,0.004508244,0.006921898,2.1997312305011008e-10,5.313421369557148e-10,0.00214419630356133,0.006914643570780754,8.180582517525181e-05,0.00012104075722163543
1997-08-01,0.0047627385,0.0069836783,5.788243218063371e-10,2.1669080418895703e-10,0.003295387839898467,0.005186556372791529,0.00022799124417360872,-0.00010324970207875594
1997-09-01,0.005106693,0.007828341,4.972630640587283e-10,1.1995330284619854e-09,0.0032413217704743147,0.005353666841983795,-3.073895277339034e-05,-6.668426067335531e-05
1997-10-01,0.004664187,0.007121379,5.039577644083693e-10,7.32785998547314e-10,0.0020510933827608824,0.006319038104265928,4.0094681025948375e-05,-0.0001063693780452013
1997-11-01,0.004150965,0.007276127,5.175456174733029e-10,8.530381956362021e-10,0.0009634800953790545,0.0036866760347038507,-1.4017656212672591e-05,-0.0001296725677093491
1997-12-01,0.003313715,0.00707459,3.5414837729064175e-10,6.037860211804968e-10,0.0008048657327890396,0.004971344489604235,-9.226950169249903e-06,-9.511208190815523e-05
