,time,eke_ice,eke_acc,eke_full,tau_ice,tau_acc,taueff_ice,taueff_acc,w_ice,w_acc,weff_ice,sic_ice,aao,nino34,eke_ice_anom,eke_ice_std,eke_acc_anom,eke_acc_std,eke_full_anom,eke_full_std,tau_ice_anom,tau_ice_std,tau_acc_anom,tau_acc_std,taueff_ice_anom,taueff_ice_std,taueff_acc_anom,taueff_acc_std,w_ice_anom,w_ice_std,w_acc_anom,w_acc_std,weff_ice_anom,weff_ice_std,sic_ice_anom,sic_ice_std,aao_anom,aao_std,nino34_anom,nino34_std
20,1994-09-01,0.005233945,0.0071521,0.006655196,0.05884191,0.06123383,0.03776228,0.062400907,4.9122886e-05,-1.1310423e-05,5.3830394e-05,0.4549342,-0.0841,27.2,-0.00023037847,-0.6792284,-0.0009936765,-1.2932321,-0.00079649594,-1.3755195,-0.0019415878,-0.19032754,-0.014163088,-1.5566883,-0.0027489774,-0.2296944,-0.014860928,-1.588901,2.6985517e-05,0.3272857,-5.0999624e-05,-0.6033311,3.1823034e-05,0.3849735,-0.017800868,-0.9000926,-0.10972499999999999,-0.10979548030263671,0.5012499999999989,0.5638298825949039
21,1994-10-01,0.0053011077,0.007181204,0.006692589,0.054506265,0.071040176,0.038868748,0.07275676,-3.4863322e-05,-9.412034e-05,-4.0972573e-05,0.45015198,0.174,27.47,-9.446638e-05,-0.27851662,-0.001128736,-1.4690069,-0.0008519911,-1.4713577,-0.00643092,-0.6304025,-0.0057812184,-0.63542324,-0.005417865,-0.45269674,-0.0058535933,-0.62585455,-4.9553484e-05,-0.6009945,-0.00010909927,-1.2906562,-5.6439625e-05,-0.68276846,-0.004143834,-0.20953111,0.31881875,0.3190235387171224,0.7865624999999987,0.88476297661557
22,1994-11-01,0.0047547664,0.0077873073,0.006890899,0.029545173,0.074502476,0.017257418,0.07615687,-4.299665e-06,-0.0001218964,-7.0726346e-06,0.37737277,1.7794,27.81,-0.00013565924,-0.3999662,-0.0007443116,-0.96869326,-0.00057106884,-0.9862152,-0.021967795,-2.1534326,0.00524503,0.5764897,-0.022600371,-1.8884034,0.0054257214,0.5801075,-3.5801273e-05,-0.434205,-0.00012166311,-1.4392879,-3.861055e-05,-0.46708435,0.00844574,0.42705476,1.6396375,1.6406906979696014,1.1384374999999984,1.280568742078078
23,1994-12-01,0.003805502,0.008055773,0.0065416503,0.032379005,0.06951775,0.026357658,0.071104884,3.726561e-05,-7.1823575e-05,3.8125843e-05,0.22667955,0.8938,27.85,3.1013973e-05,0.09143904,-0.0003684964,-0.479584,-0.00021359744,-0.36887506,-0.008625865,-0.8455659,0.0018828809,0.20695044,-0.008291911,-0.6928414,0.0020583346,0.22007318,4.9925075e-07,0.0060549984,-8.434849e-05,-0.9978518,1.5622973e-06,0.018899586,0.011142269,0.5634035,1.1302129032258064,1.1309388795070847,1.2967741935483907,1.4586733991032264
24,1995-01-01,0.0034549572,0.008229432,0.006379517,0.04381628,0.06802281,0.042300034,0.06971074,4.9356935e-05,-0.0001269968,5.1575316e-05,0.11809852,-0.1538,27.57,0.00017223344,0.5077986,-0.00021663215,-0.28193843,-3.7977472e-05,-0.06558578,0.005678676,0.55666256,-0.001254797,-0.13791686,0.009228159,0.7710708,-0.0010624975,-0.11360002,1.3372075e-05,0.16217919,-0.00019028113,-2.2510467,1.472469e-05,0.17812932,0.01999402,1.0109881,-0.03572499999999998,-0.035747947448728126,1.1246875000000003,1.2651020869445542
25,1995-02-01,0.0032888679,0.008471948,0.0064059207,0.045044757,0.061698217,0.039275847,0.06330552,-1.1681406e-05,-2.3841672e-05,-9.814416e-06,0.07024246,1.4289,27.49,4.5074383e-05,0.13289356,-0.00035566837,-0.4628888,-0.00017258106,-0.29804125,-0.005393952,-0.5287518,-0.005098652,-0.5604013,-0.0061634853,-0.514998,-0.00511685,-0.54708344,-7.143636e-05,-0.86639446,-0.00012376413,-1.4641432,-7.07773e-05,-0.8562159,0.011889841,0.60120416,1.243634375,1.2444332059603047,0.8293749999999989,0.9329205164631401
26,1995-03-01,0.0030641344,0.007989682,0.0060336245,0.050835777,0.073072225,0.037949882,0.07477471,7.812644e-05,2.7339918e-05,7.7831835e-05,0.09347699,0.3932,27.75,-6.833603e-05,-0.20147611,-0.00052508246,-0.6833748,-0.0003244183,-0.5602586,-0.007791098,-0.76373637,0.004845187,0.53254235,-0.013285898,-1.1101204,0.0048667416,0.5203425,-3.056803e-05,-0.37073517,-0.00012416598,-1.4688971,-3.0641037e-05,-0.37067458,0.0150210485,0.75953215,0.1030125,0.10307866862315211,0.5350000000000001,0.6017934906499239
27,1995-04-01,0.003242977,0.0074851834,0.005895332,0.06486722,0.06789853,0.05662176,0.06966289,0.00010403217,8.6988606e-05,0.000103369086,0.17081738,-0.9631,28.1,-0.00014371192,-0.42370805,-0.001043675,-1.3583033,-0.0006839456,-1.1811492,0.0019913092,0.19520177,-0.0024203658,-0.26602644,0.0055513903,0.46385363,-0.002412334,-0.2579219,-2.6858332e-05,-0.32574323,-0.000105019884,-1.2423967,-2.6218528e-05,-0.31717405,0.016027287,0.8104121,-1.058425,-1.0591048643364618,0.35375000000000156,0.3979148547988998
28,1995-05-01,0.003544546,0.007174443,0.005902634,0.061210897,0.07211651,0.048299003,0.073887065,7.8203004e-05,9.3375944e-05,7.2374576e-05,0.2643999,-0.8912,27.82,-0.00017673522,-0.5210712,-0.0011119484,-1.4471585,-0.00078099547,-1.3487508,0.002671022,0.26183185,0.003412865,0.37511352,0.0055506304,0.46379015,0.0034226626,0.36594445,-5.4061784e-05,-0.65567213,-7.774505e-05,-0.9197324,-5.836287e-05,-0.7060346,0.013149232,0.6648846,-0.9572375,-0.9578523679762607,-0.04437499999999872,-0.0499151142945604
29,1995-06-01,0.0045024855,0.007457612,0.006507296,0.041443404,0.0483412,0.021356687,0.04937999,-7.154074e-06,3.4365727e-05,-1.0973163e-05,0.34333226,-0.1118,27.59,0.00022710674,0.66958237,-0.00081743393,-1.0638592,-0.0004873504,-0.8416364,-0.011866637,-1.1632484,-0.016033135,-1.7622281,-0.012642775,-1.0563835,-0.016605385,-1.7754148,-9.3535054e-05,-1.1344118,-9.06746e-05,-1.0726904,-9.644304e-05,-1.1667026,0.0032358468,0.16361897,-0.113915625,-0.11398879709136525,-0.10218749999999943,-0.11494536883325043
